term,polarity,score,category,domain,source_file,is_passenger_relevant,vader_key,is_phrase
efficient,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,efficient,False
efficient boarding,positive,2,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,efficient_boarding,True
elderly-friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,elderly-friendly,False
empathetic,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,empathetic,False
enjoyable flight,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,enjoyable_flight,True
enjoyable journey,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,enjoyable_journey,True
environmentally friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,environmentally_friendly,True
excellent,positive,3,service,passenger,aviation_sentiment_lexicon_full.csv,True,excellent,False
exceptional,positive,3,service,passenger,aviation_sentiment_lexicon_full.csv,True,exceptional,False
excessive waiting,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,excessive_waiting,True
exhausted,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,exhausted,False
extremely comfortable,positive,2,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,extremely_comfortable,True
extremely frustrating,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,extremely_frustrating,True
extremely helpful,positive,3,service,passenger,aviation_sentiment_lexicon_full.csv,True,extremely_helpful,True
extremely noisy,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,extremely_noisy,True
extremely unacceptable,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,extremely_unacceptable,True
fair treatment,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,fair_treatment,True
family-friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,family-friendly,False
fast check-in,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,fast_check-in,True
fatigued,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,fatigued,False
faulty equipment,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,faulty_equipment,True
felt unsafe,negative,-2,emotion,safety,aviation_sentiment_lexicon_full.csv,True,felt_unsafe,True
filthy,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,filthy,False
frequent flyer friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,frequent_flyer_friendly,True
friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,friendly,False
frustrating,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,frustrating,False
fuel mismanagement,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,fuel_mismanagement,True
fuel shortage,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,fuel_shortage,True
fuel-efficient,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,fuel-efficient,False
fuel-starved,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,fuel-starved,False
go-around,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,go-around,False
going above and beyond,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,going_above_and_beyond,True
good value,positive,1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True,good_value,True
great value,positive,1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True,great_value,True
green operation,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,green_operation,True
grossly negligent,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,grossly_negligent,True
hassle-free,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,hassle-free,False
heavily delayed,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,heavily_delayed,True
helpful,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,helpful,False
hidden fees,negative,-1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True,hidden_fees,True
highly efficient,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,highly_efficient,True
highly professional,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,highly_professional,True
highly recommended,positive,3,recommendation,passenger,aviation_sentiment_lexicon_full.csv,True,highly_recommended,True
highly reliable,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,highly_reliable,True
highly satisfied,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,highly_satisfied,True
horrible service,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,horrible_service,True
hygienic,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,hygienic,False
impressive,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,impressive,False
inaccurate announcement,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,inaccurate_announcement,True
inattentive,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,inattentive,False
incompetent,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,incompetent,False
inconsistent,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,inconsistent,False
incorrect information,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,incorrect_information,True
indifferent,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,indifferent,False
inexperienced,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,inexperienced,False
irritating,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,irritating,False
jam-packed,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,jam-packed,False
kind,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,kind,False
lack of information,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,lack_of_information,True
last-minute cancellation,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,last-minute_cancellation,True
limited legroom,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,limited_legroom,True
long delay,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,long_delay,True
long line,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,long_line,True
long queue,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,long_queue,True
long waiting time,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,long_waiting_time,True
loss of communication,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,loss_of_communication,True
loss of separation,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,loss_of_separation,True
lost baggage,negative,-1,baggage,passenger,aviation_sentiment_lexicon_full.csv,True,lost_baggage,True
lost trust,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,lost_trust,True
loyal customer,positive,1,recommendation,passenger,aviation_sentiment_lexicon_full.csv,True,loyal_customer,True
malfunctioning,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,malfunctioning,False
malfunctioning equipment,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,malfunctioning_equipment,True
memorable flight,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,memorable_flight,True
misconnection,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,misconnection,False
mishandled baggage,negative,-1,baggage,passenger,aviation_sentiment_lexicon_full.csv,True,mishandled_baggage,True
misleading information,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,misleading_information,True
missed connection,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,missed_connection,True
missed flight,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,missed_flight,True
missing baggage,negative,-1,baggage,passenger,aviation_sentiment_lexicon_full.csv,True,missing_baggage,True
modern,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,modern,False
narrow seat,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,narrow_seat,True
navigation error,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,navigation_error,True
near miss,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,near_miss,True
negligent,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,negligent,False
never again,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,never_again,True
new aircraft,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,new_aircraft,True
nightmare flight,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,nightmare_flight,True
no announcement,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,no_announcement,True
no legroom,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,no_legroom,True
noisy,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,noisy,False
non-compliant,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,non-compliant,False
not recommended,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,not_recommended,True
observant,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,observant,False
obsolete,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,obsolete,False
on schedule,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,on_schedule,True
on-time,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,on-time,False
operationally efficient,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,operationally_efficient,True
optimized,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,optimized,False
outdated,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,outdated,False
outstanding,positive,3,service,passenger,aviation_sentiment_lexicon_full.csv,True,outstanding,False
overbooked,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,overbooked,False
overcharged,negative,-1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True,overcharged,False
overcrowded,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,overcrowded,False
overloaded,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,overloaded,False
overpriced,negative,-1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True,overpriced,False
oversold flight,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,oversold_flight,True
oversold tickets,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,oversold_tickets,True
overweight aircraft,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,overweight_aircraft,True
overworked,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,overworked,False
packed flight,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,packed_flight,True
panic,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,panic,False
panic on board,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,panic_on_board,True
patient,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,patient,False
peaceful,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,peaceful,False
pleasant flight,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,pleasant_flight,True
pleasant trip,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,pleasant_trip,True
polite,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,polite,False
poor communication,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,poor_communication,True
poor coordination,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,poor_coordination,True
poor planning,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,poor_planning,True
poor service,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,poor_service,True
poorly maintained,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,poorly_maintained,True
poorly organized,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,poorly_organized,True
poorly trained,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,poorly_trained,True
precise approach,positive,1,operations,safety,aviation_sentiment_lexicon_full.csv,True,precise_approach,True
precise navigation,positive,1,operations,safety,aviation_sentiment_lexicon_full.csv,True,precise_navigation,True
preemptive,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,preemptive,False
proactive,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,proactive,False
procedural violation,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,procedural_violation,True
professional,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,professional,False
prompt response,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,prompt_response,True
punctual,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,punctual,False
quick boarding,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,quick_boarding,True
quick to respond,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,quick_to_respond,True
quiet,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,quiet,False
reasonably priced,positive,1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True,reasonably_priced,True
rejected takeoff,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,rejected_takeoff,True
relaxed,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,relaxed,False
relaxing,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,relaxing,False
reliable,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,reliable,False
renovated terminal,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,renovated_terminal,True
repeated delay,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,repeated_delay,True
rescheduled,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,rescheduled,False
responsive,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,responsive,False
roomy,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,roomy,False
rude,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,rude,False
safety concern,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,safety_concern,True
safety issue,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,safety_issue,True
safety risk,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,safety_risk,True
sanitized,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,sanitized,False
satisfied,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,satisfied,False
satisfied with service,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,satisfied_with_service,True
scared,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,scared,False
seamless,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,seamless,False
seamless transfer,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,seamless_transfer,True
seasoned,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,seasoned,False
security breach,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,security_breach,True
security risk,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,security_risk,True
serious injury,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,serious_injury,True
serious violation,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,serious_violation,True
severely delayed,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,severely_delayed,True
silent,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,silent,False
slow boarding,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,slow_boarding,True
smooth,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,smooth,False
smooth approach,positive,2,operations,safety,aviation_sentiment_lexicon_full.csv,True,smooth_approach,True
smooth flight,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,smooth_flight,True
smooth journey,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True,smooth_journey,True
smooth landing,positive,2,operations,safety,aviation_sentiment_lexicon_full.csv,True,smooth_landing,True
spacious,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,spacious,False
spotless,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,spotless,False
stable,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,stable,False
stable descent,positive,1,operations,safety,aviation_sentiment_lexicon_full.csv,True,stable_descent,True
state-of-the-art,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,state-of-the-art,False
stranded,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,stranded,False
streamlined,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,streamlined,False
stressed,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,stressed,False
strong odor,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,strong_odor,True
strongly recommended,positive,3,recommendation,passenger,aviation_sentiment_lexicon_full.csv,True,strongly_recommended,True
structural damage,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,structural_damage,True
stuck at airport,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,stuck_at_airport,True
supportive,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,supportive,False
sustainable,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,sustainable,False
tailwind hazard,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,tailwind_hazard,True
terrible service,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,terrible_service,True
terrified,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,terrified,False
tidy,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,tidy,False
transparent pricing,positive,1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True,transparent_pricing,True
unacceptable,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,unacceptable,False
unbalanced load,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,unbalanced_load,True
unclear policy,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,unclear_policy,True
uncomfortable,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,uncomfortable,False
under control,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,under_control,True
undermaintained,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,undermaintained,False
underqualified,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,underqualified,False
understaffed,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,understaffed,False
understanding,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,understanding,False
unfair treatment,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,unfair_treatment,True
unfriendly,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,unfriendly,False
unhelpful,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,unhelpful,False
unhygienic,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,unhygienic,False
unprofessional,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,unprofessional,False
unreasonable charges,negative,-1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True,unreasonable_charges,True
unreliable,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,unreliable,False
unresponsive,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,unresponsive,False
unsafe,negative,-2,operations,safety,aviation_sentiment_lexicon_full.csv,True,unsafe,False
unsafe feeling,negative,-2,emotion,safety,aviation_sentiment_lexicon_full.csv,True,unsafe_feeling,True
unsanitary,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,unsanitary,False
untrained,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,untrained,False
upgraded cabin,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,upgraded_cabin,True
very attentive,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,very_attentive,True
very clean,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,very_clean,True
very comfortable,positive,2,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,very_comfortable,True
very convenient,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,very_convenient,True
very cramped,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,very_cramped,True
very dirty,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,very_dirty,True
very disappointing,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,very_disappointing,True
very friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,very_friendly,True
very satisfied,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,very_satisfied,True
very stressed,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,very_stressed,True
very uncomfortable,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,very_uncomfortable,True
violation,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,violation,False
warm crew,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,warm_crew,True
welcoming,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,welcoming,False
well-controlled,positive,1,operations,safety,aviation_sentiment_lexicon_full.csv,True,well-controlled,False
well-lit,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,well-lit,False
well-ventilated,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,well-ventilated,False
went the extra mile,positive,3,service,passenger,aviation_sentiment_lexicon_full.csv,True,went_the_extra_mile,True
will fly again,positive,3,recommendation,passenger,aviation_sentiment_lexicon_full.csv,True,will_fly_again,True
will not fly again,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,will_not_fly_again,True
worried,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,worried,False
would not recommend,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,would_not_recommend,True
would recommend,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,would_recommend,True
