original_index,AirlineName,CabinType,OverallScore,Recommended,Review,lda_topic,lda_topic_probability,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob
20,Ryanair,Economy Class,1.0,no,"Rome to Athens. One of worst check in experience, reasons- understaffed team, hundreds of passenger in queue handled by 3. If you have not done check in online, you have to pay 55 euro per person, pay  for light cabin backpack. staffs with blunt expression. One line is avoid the chances of being ripped on the name of low fare because one will end up paying a lot.",1,0.862235,0.117864,0.862235,0.003983,0.003976,0.00398,0.003981,0.003982
21,Iberia Express,Economy Class,1.0,no,"My flight was originally on Delta from Salt Lake City to Madrid for both business and pleasure. Due to Delta leaving 3.5 hours late I missed my connection in Paris and as all the Delta Partner flights were booked going down to Madrid that evening they put me on an Iberia flight. This gave me a 4 hour layover or so in Paris so you would think my luggage would have arrived. It didn't. I figured it would show up a day or so later because how do you lose luggage for longer than that and I made the mistake of only making only one pair of underclothes and two shirts in my backpack. As the days progressed with no luggage I was told by Iberia to hold onto my receipts for reimbursement as I had to by clothes I could wear for my conference, makeup and some clothes for the vacation portion of my trip. I didn't go wild. Finally, on the 9th day of no luggage they contacted me to say it was found and now in Madrid. That didn't help as I was in Barcelona. I instructed them to send it to my home in Utah to which they told me they would send me the shipping information. They never did. Three days later there was a knock at my door at 4:50 a.m. that freaked me out because I wasn't expecting anyone. It ended up being my luggage. Luckily, it was all there. Unfortunately, the story doesn't end there. When the Iberia representative told me to hang onto my receipts he gave me an email address to send all my documentation. I did so knowing that reimbursement could take up to 30 days. After 3 weeks of radio silence from Iberia I contacted them to check the status and they said they never received my paperwork! They gave me a new email address and I resubmitted again. This time I saw emails from them saying they were processing and I could expect a check in approximately 30 days. Fast forward to this week. At day 36 I called them and was told that they couldn't help me. That I would need to lodge a complaint through their website. I immediately did and received an email that said it could take up to 21 days to respond. When I got home that day there was a check in the mail for less than half of the amount submitted. I've since contacted them without response. The customer service of this airline is unbelievably horrible! As Iberia was the airline I last flew with when the luggage went missing, according to airline regulations they are responsible for whatever happens to it.",2,0.678346,0.000763,0.027401,0.678346,0.096434,0.195532,0.000762,0.000762
22,United Airlines,Economy Class,3.0,no,"Really ticked off by agent's rudeness. I was booked roundtrip Newark to Houston on a last-minute Basic Economy ticket. First flight was just fine on American, which allows one carry on in the overhead bin (bag maximum dimensions are clearly spelled out on AA's website) and one beneath the seat. Great, as I only had two small bags. Not so great on my return flight home on United. On checking in at UA's Houston/IAH kiosk I realized the airline's impossibly stingy policy that allows only one small bag under the seat - and nothing overhead. Okay, my fault for assuming United's policy was the same as American's. What really burned me though was the downright surly response from UA's customer service agent when I questioned why I had to pay a $30 bag check fee. He was really aggressive - glaring as he shouted ""my problem was that I was cheap!"" I was insulted, but paid the fee nonetheless. But I'm done with United. We've flown many miles together - too bad United's skies are no longer friendly. From now on I'm happy to stick with better carriers American and Delta.",1,0.769828,0.001404,0.769828,0.001406,0.064957,0.063847,0.097155,0.001402
23,Air Canada rouge,Premium Economy,1.0,no,"I flew Air Canada Rouge (booked by our Travel Agent, we saw Air Canada and thought 'great' we didn’t realise that they were their budget fleet) for three flights in September 2019 from Manchester to Toronto and Calgary and then Vancouver back to Manchester. I was with my husband and his parents. All three flights were delayed leaving: First Flight: two and a quarter hours delay taking off because of a fuel light fault (this should have been sorted before we boarded and sat there all that time - preventable) Second Flight: an hour late leaving owing to a staff shortage for that flight (this should have been sorted out before we boarded - preventable) Third Flight: 15 minutes late leaving because of a late boarding passenger (not really Rouges fault). On our first flight, the delay in leaving almost caused us to miss our connection in Toronto. We managed to make it to our connecting plane Boarding Passes in hand, only to be told we had been removed (our seats undoubtedly re-sold). After much dithering, the staff managed to re assign us. However, our luggage didn’t make the flight as Rouge had decided to put it on a later flight (ours and lots of other peoples) but didn’t think to tell us, so we waited ages at the carousel the other end unnecessarily. Eventually and after much anxiety on our part it all arrived at our hotel in the middle of the night. My husband and I were in Premium Economy. The seats were extremely hard and uncomfortable. Seatbelts were short with not much room to slacken. The legroom was fine, but you couldn’t stretch out as there was a large mounting bracket beneath the seat in front. The overhead bins were minuscule. The iPads we were given to entertain us on the return flight wouldn’t connect properly, saying there was an error. We couldn’t be bothered to report it as we were so tired. It looked like everyone else’s was the same. The food was just ok and nothing special. Air stewards on all flights were friendly enough, but did seem disinterested. My in-laws were in Economy and experienced all of the above, except smaller seats and no in-flight entertainment. Unfortunately, their seats weren’t clean either, attached is a picture of the gap in my mother-in-laws footwell, it was absolutely filthy and there appeared to be months of old litter and food debris. Unfortunately, as a whole Air Canada Rouge was pretty poor and it’s highly unlikely that we will ever use them again, or recommend them to anyone.",5,0.393607,0.281829,0.109634,0.079443,0.00076,0.000759,0.393607,0.133968
24,British Airways,Business Class,3.0,no,"✅ , |  Oslo to London Heathrow. Check in was chaotic, and ground staff had no idea about check in, no information about lounge access, transfer etc. I'm emerald frequent flyer with British Airways. Seat is usual economy seat, it's a joke they sell this product as business class. No entertainment and a disgraceful meal on business class. Service was very fast. Overall experience in this flight was no any better than economy class - it's a complete joke they call this product ""business class"" - you just waste your money.",5,0.848589,0.002929,0.002928,0.136781,0.00292,0.002926,0.848589,0.002927
25,Etihad Airways,Economy Class,1.0,no,"New Delhi to Bahrain via Abu Dhabi. This is the worst experience of my life.  Flight gets delayed in New Delhi and as a result I have to miss my connecting flight. The staff is so rude in Abu Dhabi. Rather than trying to help or provide solutions they would rather behave irritated. Now they have given me a flight the next day. I am a girl traveling alone, staying in the airport overnight is inappropriate. They should consider these facts but instead they prefer being adamant and non negotiable. Also be careful while booking your flight. They book in the name of Etihad Airlines and send customers in Jet Airways. Even if it is codesharing it needs to be mentioned. We are not fools here. We have paid our money and therefore expect service. Rather than the rude behavior of the staff. The staff is not doing us a favor in fact it is the other way around. I am despising this experience.",2,0.638893,0.001993,0.001994,0.638893,0.001993,0.070184,0.001993,0.28295
26,Lufthansa,Economy Class,2.0,no,On a direct flight Munich to Los Angeles I found myself in row 39 (economy class) of an aircraft with a downstairs bathroom area. The bathroom configuration is a great innovation but next to my seat loomed the very imposing cover for the stairway to the bathroom. Mine was the inside seat of only two in that row because of the stairway. My elbow bumped into the stairway wall and my vision was totally blocked on that side. Claustrophobic alley! A kind attendant was able to reseat me. Meals? The plane departed at noon and lunch was served at 1 pm. Lufthansa has been touted for its meals and I was looking forward to this part. The meal itself was good from my experience with airplane food. A few hours later an attendant passed out Toblerone chocolate bars. Several hours after that more chocolate bars. Mind you this was a direct flight. It landed 12 hours after it departed. The passengers had last eaten a meal 11 hours earlier! I think most people would need at least a sandwich or light meal in that 11-hour period. There were no meals for purchase on board no help in sight. I think Lufthansa definitely needs to look carefully at their meal policy for such extended flights. If I ever travel on this airline again I'm bringing my own food!,5,0.690081,0.11515,0.058028,0.001316,0.132796,0.001316,0.690081,0.001314
27,United Airlines,Economy Class,3.0,no,Rochester New York to Washington. I was on a small plane (2 seats per side) and I being a large man was also sitting next to a large man (probably the two biggest guys on the plane). There were 3 of 4 exit row seats open. They wouldn’t let us move because they the flight attendant said we couldn’t because we didn’t pay for them. They were already paid for but they didn’t show up for the flight. So she decided to make it an uncomfortable flight for us and then leave the exit row seats open which is a hazard.,1,0.978489,0.003585,0.978489,0.00359,0.003595,0.003581,0.003586,0.003574
28,Allegiant Air,Economy Class,1.0,no,"Given our current covid-19 pandemic I called the airline in order to get a refund instead of a credit due to the fact that my family is high risk and we will not be taking a flight anymore. Once this pandemic cleared up we would plan to drive instead and have no need for the airline ticket. When I called the lady I spoke to was not only incredibly rude even though I was very polite and professional, she also threatened me after issuing the refund by saying that they have documented in my account that they will never waive any type of fees for us. Talk about incredibly rude and a horrible business to support. They need to be more understanding and respectful of the fact that we are in a pandemic. I will never support this business again!",4,0.778612,0.002512,0.208817,0.002517,0.002515,0.778612,0.002515,0.002512
29,Aer Lingus,Economy Class,3.0,no,London Gatwick to Dublin on 15/11/2013 AE 249 - 9pm flight. Friday flight - delayed yet again due to Aer Lingus passengers taking their time to get on and off the plane. People again had too much hand luggage and the ground staff were forced to place some in the hold. Late take off due to passengers being selfish and hogging the overhead bins and generally being thoroughly stupid with regards to the basics such as sitting down quickly and being able to count from 1 to 29. The crew found it frustrating and its credit to them they kept calm during a very unnecessary delay. I'm finding this behaviour very annoying and am going back to Ryanair who at least make the effort to be on time and their passengers don't push and shove like Aer Lingus passengers.,0,0.390125,0.390125,0.252029,0.242727,0.108174,0.002316,0.002312,0.002317
30,Azerbaijan Airlines,,3.0,no,My worst flying experience in 11 years of former Soviet Union travel. On January 13 2008 the airport in Baku was closed because the airport is not equipped with any modern snow cleaning equipment. Personnel checking us in in Tblissi in Georgia without telling us anything with a delay of 7 hours in order to not let us return the tickets and book an alternative route through Kiev. No food no drinks no apologizing. Arriving in Baku after midnight no information whatsoever a crowded airport without any modern facilities. No airport representative ever turned up. No food no drinks no apologizing. Finally with a delay of another 17 hours check-in at the departure lounge we were forced to wait for 2 hours without being allowed to go out and use the toilet. Aggressive unfriendly personnel at the airport. The aircraft was covered with snow no cleaning equipment was at hand to clean away the snow from the top of the aircraft. Other passengers told us they already had similar experiences when flying from Moscow through Baku. Stay away from Azerbaijan airlines if you can.,0,0.80602,0.80602,0.001561,0.001561,0.00156,0.001563,0.076858,0.110877
31,Emirates,Economy Class,1.0,no,"Expecting a great deal based on other reviews we decided to pay more to fly with Emirates from Dubai to London Heathrow. Unhelpful Emirates Staff at Heathrow - could barely muster a smile. Completely oversold their family friendly service. It was a guessing game as to what we had to do with the stroller for our 7 month old. Although the kids meals were given as they had been pre-ordered I don't think they were particularly great quality. In terms of the cabin crew - rude, unfriendly and I could go on. We were issued the wrong menu - no apology. I asked for a glass of water for my little girl and it was as if I'd asked for gold. The serving of the food and drinks was very disjointed - no system, no organisation. I wasn't offered food twice as they bypassed me. My partner was missed out on a few occasions too. No apology. They didn't bother with the kids, I went to change the baby and when I was returning to my seat I had to wait in the aisle for 5 mins for them to move out of the way. They are clearly more important than you. The toilets were not maintained. I have always flown with Virgin in the past and will continue to do so in the future.",5,0.653315,0.100384,0.1427,0.001595,0.001596,0.001594,0.653315,0.098816
32,United Airlines,Economy Class,1.0,no,"Seattle to San Diego. Hidden charges for checking a carry-on bag. If you take a carry-on bag to the gate, as you do with any other airlines, they will charge you $30 + a $25 fine for doing so. That's an extra $55 just for boarding a plane like normal with one carry-on. You are forced to pay the $30 fee for each carry-on bag while checking in online, or else you are blocked from checking in and must do so at the airport. None of this is advertised before you buy the ticket. That is just the most egregious of the problems United puts on its customers. Every other aspect of the airline's service makes it the absolute worst of the major airlines. They only exist because of government bailouts, they were about to fail (for good reason) before all that. Their food service is pathetic and obscenely overpriced, the airplanes are a mess, the flight attendants are rude and the gate agents belligerent.",1,0.842579,0.002081,0.842579,0.002078,0.00208,0.107287,0.04182,0.002075
33,easyJet,Economy Class,1.0,no,"Palma to Liverpool. I had arrived at Palma airport for my return flight, checked in, passed  passport control and was was ready 2 hours before at the gate with my boarding passes. I was in the queu to board the flight when my 8 year old daughter said she felt slightly sick, the queue was still long so I said to the lady on the gate I was taking her the toilet - I was 10 minutes. On my return I  walked up to board and the lady said the gates closed!‬ ‪My flight weren’t due to leave for a further 20 minutes! I didn’t understand. But the lady was so abrupt and said your not getting on. I pleaded in  desperation but there was absolutely no empathy whatsoever toward me, they just carried on chatting.  I literally had £150 in my bank and knew I was in trouble, I tried not to let my children see how petrified their mother was but they could they were besides themselves. I went down to the main @asyJet desk and spoke to a staff member who said you’ve missed your flight what do you want us to do about it. I was standing distraught as where my children and she asked me to move as there was a man behind wanting to be served. She closed the shutter down and went onto the next desk! I then asked can I speak to a manager so someone came from the back and said we’ve got no flights for you. They said we are not flying you home for £150.  I was messaging family asking could they help but flights where coming back at £300 each at 11pm that night. I managed to eventually book flights with jet2 who gave us blankets pillows and took our cases and baggage in their office so we could rest. They boarded us first on the plane and really lifted mine and my children’s spirits with their kindness after realising what had happened with easyjet earlier.",2,0.469753,0.268593,0.143411,0.469753,0.053905,0.018743,0.044519,0.001076
34,Iberia,Economy Class,1.0,no,"Madrid to LHR. This flight did not begin well with very poor service at the gate in Barajas. It was completely disorganised and reminiscent of a low cost airline ""scrum"". This was possibly due to the fact that Iberia staff seemed more interested in checking the size of hand baggage rather than boarding passengers. Once onboard seats were uncomfortable food was over priced and cabin crew disinterested. I will go with BA next time.",5,0.530826,0.34391,0.110185,0.003772,0.003768,0.003769,0.530826,0.00377
35,Delta Air Lines,Economy Class,2.0,no,"I have been on many airplanes over the past ten years and this was by far the worst experience. Me and my roommate inaccurately received texts that our plane was delayed 2 hours. Therefore we missed our 5:30pm flight and instead of arriving home that night at 11pm as scheduled we were forced to sleep in the airport overnight. We did not return home until the following day at 11am. Delta customer service was terrible and did nothing to compensate us for our crisis. Do not fly with Delta, they are only good for wasting your time and money.",3,0.833311,0.00326,0.003254,0.052918,0.833311,0.100748,0.003257,0.003253
36,Air France,Economy Class,1.0,no,"We just had a return flight scheduled via Air France on August 1st. We arrived 2.5 hours early to Charles de Gaulle but the bag drop-off took 1 hour then we were stopped for having carry-on bags too large at security and had to return to check the carry-ons, after this, we had 50 minutes until departure but security machine broke and caused abnormal security delays of an hour. We missed the flight. It then took 2 hours of waiting at Air France ticketing to learn the next flight would be 6 days away (with us having NO luggage). We opt for another flight on a different airline and airport but now to get our bags ... another 5 hours of waiting to get our 2 carry-on bags. We are told to return in the morning to pick up our other 2 large checked bags that had been pulled from the plane. We come back to CDG, wait 1.5 hours in a 5 person line to find out that those bags cannot be accessed, and they have to send them across the ocean and deliver to our home address. Unbelievable service from Air France. No apologies from anyone or care for the extraordinary mess of lines! One bag has been found but the other is untraceable.",2,0.383007,0.001511,0.178357,0.383007,0.351163,0.001513,0.001507,0.082941
