term,polarity,score,category,domain
fatal accident,negative,-3,safety,safety
fatality,negative,-3,safety,safety
fatigued,negative,-1,operations,safety
faulty equipment,negative,-1,operations,safety
felt unsafe,negative,-2,emotion,safety
filthy,negative,-1,comfort,passenger
fire on board,negative,-1,safety,safety
frustrating,negative,-1,operations,safety
fuel leak,negative,-1,safety,safety
fuel mismanagement,negative,-1,operations,safety
fuel shortage,negative,-1,operations,safety
fuel-starved,negative,-1,operations,safety
go-around,negative,-1,operations,safety
grossly negligent,negative,-1,operations,safety
ground collision,negative,-2,safety,safety
hard landing,negative,-2,safety,safety
heavily delayed,negative,-1,schedule,passenger
hidden fees,negative,-1,pricing,passenger
horrible service,negative,-1,operations,safety
hydraulic leak,negative,-1,safety,safety
icing,negative,-1,safety,safety
inaccurate announcement,negative,-1,communication,passenger
inattentive,negative,-1,operations,safety
incident,negative,-1,safety,safety
incompetent,negative,-1,operations,safety
inconsistent,negative,-1,operations,safety
incorrect information,negative,-1,communication,passenger
indifferent,negative,-1,service,passenger
inexperienced,negative,-1,operations,safety
instrument failure,negative,-1,safety,safety
irritating,negative,-1,operations,safety
jam-packed,negative,-1,operations,safety
lack of information,negative,-1,communication,passenger
last-minute cancellation,negative,-1,operations,safety
lightning strike,negative,-1,safety,safety
limited legroom,negative,-1,comfort,passenger
long delay,negative,-1,operations,safety
long line,negative,-1,schedule,passenger
long queue,negative,-1,schedule,passenger
long waiting time,negative,-1,schedule,passenger
loss of communication,negative,-1,communication,passenger
loss of separation,negative,-1,operations,safety
lost baggage,negative,-1,baggage,passenger
lost trust,negative,-1,emotion,safety
low visibility,negative,-1,safety,safety
major accident,negative,-3,safety,safety
major incident,negative,-1,safety,safety
malfunctioning,negative,-1,operations,safety
malfunctioning equipment,negative,-1,operations,safety
microburst,negative,-1,safety,safety
mid-air collision,negative,-3,safety,safety
misconnection,negative,-1,schedule,passenger
mishandled baggage,negative,-1,baggage,passenger
misleading information,negative,-1,communication,passenger
missed connection,negative,-1,schedule,passenger
missed flight,negative,-1,operations,safety
missing baggage,negative,-1,baggage,passenger
narrow seat,negative,-1,comfort,passenger
navigation error,negative,-1,operations,safety
near miss,negative,-1,operations,safety
negligent,negative,-1,operations,safety
never again,negative,-1,operations,safety
nightmare flight,negative,-1,operations,safety
no announcement,negative,-1,communication,passenger
no legroom,negative,-1,comfort,passenger
noisy,negative,-1,comfort,passenger
non-compliant,negative,-1,operations,safety
not recommended,negative,-1,operations,safety
obsolete,negative,-1,operations,safety
oil leak,negative,-1,safety,safety
outdated,negative,-1,operations,safety
overbooked,negative,-1,operations,safety
overcharged,negative,-1,pricing,passenger
overcrowded,negative,-1,comfort,passenger
overloaded,negative,-1,operations,safety
overpriced,negative,-1,pricing,passenger
overshoot,negative,-1,safety,safety
oversold flight,negative,-1,operations,safety
oversold tickets,negative,-1,operations,safety
overweight aircraft,negative,-1,operations,safety
overworked,negative,-1,operations,safety
packed flight,negative,-1,operations,safety
panic,negative,-1,emotion,safety
panic on board,negative,-1,emotion,safety
poor communication,negative,-1,communication,passenger
poor coordination,negative,-1,operations,safety
poor planning,negative,-1,operations,safety
poor service,negative,-1,operations,safety
poor visibility,negative,-1,safety,safety
poorly maintained,negative,-1,operations,safety
poorly organized,negative,-1,operations,safety
poorly trained,negative,-1,operations,safety
procedural violation,negative,-1,operations,safety
radio failure,negative,-1,safety,safety
rapid decompression,negative,-1,safety,safety
rejected takeoff,negative,-1,operations,safety
repeated delay,negative,-1,operations,safety
rescheduled,negative,-1,schedule,passenger
rude,negative,-1,service,passenger
runway excursion,negative,-1,safety,safety
runway incursion,negative,-1,safety,safety
safety concern,negative,-1,operations,safety
safety issue,negative,-1,operations,safety
safety risk,negative,-1,operations,safety
scared,negative,-1,emotion,safety
security breach,negative,-1,operations,safety
security risk,negative,-1,operations,safety
serious incident,negative,-1,safety,safety
serious injury,negative,-1,operations,safety
serious violation,negative,-1,operations,safety
severe icing,negative,-1,safety,safety
severe turbulence,negative,-2,safety,safety
severely delayed,negative,-1,schedule,passenger
slippery runway,negative,-1,safety,safety
slow boarding,negative,-1,schedule,passenger
smoke in cabin,negative,-1,safety,safety
smoke in cockpit,negative,-1,safety,safety
stranded,negative,-1,schedule,passenger
stressed,negative,-1,emotion,safety
strong odor,negative,-1,comfort,passenger
structural damage,negative,-1,operations,safety
stuck at airport,negative,-1,operations,safety
system failure,negative,-2,safety,safety
tail strike,negative,-1,safety,safety
tailwind hazard,negative,-1,operations,safety
terrible service,negative,-1,operations,safety
terrified,negative,-1,emotion,safety
turbulence-related injury,negative,-1,safety,safety
unacceptable,negative,-1,operations,safety
unbalanced load,negative,-1,operations,safety
unclear policy,negative,-1,communication,passenger
uncomfortable,negative,-1,operations,safety
undermaintained,negative,-1,operations,safety
underqualified,negative,-1,operations,safety
undershoot,negative,-1,safety,safety
understaffed,negative,-1,operations,safety
unfair treatment,negative,-1,operations,safety
unfriendly,negative,-1,service,passenger
unhelpful,negative,-1,service,passenger
unhygienic,negative,-1,comfort,passenger
unprofessional,negative,-1,service,passenger
unreasonable charges,negative,-1,pricing,passenger
unreliable,negative,-1,operations,safety
unresponsive,negative,-1,operations,safety
unsafe,negative,-2,operations,safety
unsafe feeling,negative,-2,emotion,safety
unsanitary,negative,-1,comfort,passenger
unstable approach,negative,-1,safety,safety
untrained,negative,-1,operations,safety
very cramped,negative,-1,comfort,passenger
very dirty,negative,-1,comfort,passenger
very disappointing,negative,-1,operations,safety
very stressed,negative,-1,emotion,safety
very uncomfortable,negative,-1,operations,safety
violation,negative,-1,operations,safety
will not fly again,negative,-1,operations,safety
wind shear,negative,-1,safety,safety
worried,negative,-1,emotion,safety
would not recommend,negative,-1,operations,safety
accurate information,positive,1,communication,passenger
advanced,positive,1,service,passenger
affordable,positive,1,pricing,passenger
ahead of schedule,positive,1,schedule,passenger
alert,positive,1,training,safety
attentive,positive,1,service,passenger
brand-new,positive,1,service,passenger
caring,positive,1,service,passenger
certified,positive,1,training,safety
child-friendly,positive,1,service,passenger
clean,positive,1,comfort,passenger
clear announcements,positive,1,communication,passenger
clear instructions,positive,1,communication,passenger
clear refund policy,positive,1,communication,passenger
clearly communicated,positive,1,communication,passenger
comfortable,positive,2,comfort,passenger
comfortable journey,positive,2,comfort,passenger
competent,positive,1,training,safety
compliant,positive,1,safety,safety
consistent,positive,1,service,passenger
consistently on-time,positive,1,schedule,passenger
controlled,positive,1,operations,safety
convenient,positive,1,service,passenger
cost-effective,positive,1,service,passenger
courteous,positive,1,service,passenger
delightful experience,positive,1,service,passenger
easy check-in,positive,1,schedule,passenger
eco-friendly,positive,1,service,passenger
efficient,positive,2,service,passenger
efficient boarding,positive,2,schedule,passenger
elderly-friendly,positive,1,service,passenger
empathetic,positive,1,service,passenger
enjoyable flight,positive,1,service,passenger
enjoyable journey,positive,1,service,passenger
environmentally friendly,positive,1,service,passenger
excellent,positive,3,service,passenger
exceptional,positive,3,service,passenger
experienced,positive,1,training,safety
extremely comfortable,positive,2,comfort,passenger
extremely helpful,positive,3,service,passenger
fair treatment,positive,1,service,passenger
family-friendly,positive,1,service,passenger
fast check-in,positive,1,schedule,passenger
frequent flyer friendly,positive,1,service,passenger
friendly,positive,1,service,passenger
fuel-efficient,positive,2,service,passenger
fully compliant,positive,1,safety,safety
fully trained,positive,1,training,safety
going above and beyond,positive,1,service,passenger
good value,positive,1,pricing,passenger
great value,positive,1,pricing,passenger
green operation,positive,1,service,passenger
hassle-free,positive,1,service,passenger
helpful,positive,1,service,passenger
highly competent,positive,1,training,safety
highly efficient,positive,2,service,passenger
highly professional,positive,2,service,passenger
highly recommended,positive,3,recommendation,passenger
highly reliable,positive,2,service,passenger
highly satisfied,positive,1,service,passenger
hygienic,positive,1,comfort,passenger
impressive,positive,1,service,passenger
kind,positive,1,service,passenger
licensed,positive,1,training,safety
loyal customer,positive,1,recommendation,passenger
memorable flight,positive,1,service,passenger
modern,positive,1,service,passenger
new aircraft,positive,1,service,passenger
observant,positive,1,service,passenger
on schedule,positive,1,schedule,passenger
on-time,positive,1,schedule,passenger
operationally efficient,positive,2,service,passenger
optimized,positive,1,service,passenger
outstanding,positive,3,service,passenger
patient,positive,1,service,passenger
peaceful,positive,1,service,passenger
pleasant flight,positive,1,service,passenger
pleasant trip,positive,1,service,passenger
polite,positive,1,service,passenger
precise approach,positive,1,operations,safety
precise navigation,positive,1,operations,safety
preemptive,positive,1,service,passenger
proactive,positive,1,service,passenger
professional,positive,2,service,passenger
prompt response,positive,1,communication,passenger
punctual,positive,1,service,passenger
qualified,positive,1,training,safety
quick boarding,positive,1,schedule,passenger
quick to respond,positive,1,service,passenger
quiet,positive,1,comfort,passenger
reasonably priced,positive,1,pricing,passenger
regulatory-compliant,positive,1,safety,safety
relaxed,positive,1,service,passenger
relaxing,positive,1,service,passenger
reliable,positive,2,service,passenger
renovated terminal,positive,1,service,passenger
responsive,positive,1,communication,passenger
risk-aware,positive,1,safety,safety
risk-controlled,positive,1,safety,safety
roomy,positive,1,comfort,passenger
safe,positive,2,safety,safety
safer,positive,2,safety,safety
safety-first,positive,2,safety,safety
safety-focused,positive,2,safety,safety
safety-oriented,positive,2,safety,safety
sanitized,positive,1,comfort,passenger
satisfied,positive,1,service,passenger
satisfied with safety,positive,2,safety,safety
satisfied with service,positive,1,service,passenger
seamless,positive,1,service,passenger
seamless transfer,positive,1,schedule,passenger
seasoned,positive,1,service,passenger
secure,positive,2,safety,safety
secured,positive,2,safety,safety
security-conscious,positive,1,safety,safety
silent,positive,1,service,passenger
skilled,positive,1,training,safety
smooth,positive,2,service,passenger
smooth approach,positive,2,operations,safety
smooth flight,positive,2,service,passenger
smooth journey,positive,2,service,passenger
smooth landing,positive,2,operations,safety
spacious,positive,1,comfort,passenger
spotless,positive,1,comfort,passenger
stable,positive,1,service,passenger
stable descent,positive,1,operations,safety
state-of-the-art,positive,1,service,passenger
streamlined,positive,1,service,passenger
strongly recommended,positive,3,recommendation,passenger
supportive,positive,1,service,passenger
sustainable,positive,1,service,passenger
tidy,positive,1,comfort,passenger
transparent pricing,positive,1,pricing,passenger
under control,positive,1,service,passenger
understanding,positive,1,service,passenger
upgraded cabin,positive,1,service,passenger
very attentive,positive,1,service,passenger
very clean,positive,1,comfort,passenger
very comfortable,positive,2,comfort,passenger
very convenient,positive,1,service,passenger
very experienced,positive,1,training,safety
very friendly,positive,1,service,passenger
very satisfied,positive,1,service,passenger
vigilant,positive,1,training,safety
warm crew,positive,1,service,passenger
welcoming,positive,1,service,passenger
well-controlled,positive,1,operations,safety
well-lit,positive,1,service,passenger
well-trained,positive,1,training,safety
well-ventilated,positive,1,comfort,passenger
went the extra mile,positive,3,service,passenger
will fly again,positive,3,recommendation,passenger
would recommend,positive,1,service,passenger
